,totalKilocalories,activeKilocalories,bmrKilocalories,remainingKilocalories,wellnessTotalKilocalories,wellnessActiveKilocalories,totalSteps,netCalorieGoal,isVigorousDay,minHeartRate,maxHeartRate,restingHeartRate,consumedKilocalories,weight
2026-03-16,3409.0,846.0,2563.0,2946.0,3409.0,846.0,13820.0,2100.0,False,42.0,135.0,55.0,,220.6
2026-03-17,3096.0,570.0,2526.0,2670.0,3096.0,570.0,15484.0,2100.0,False,47.0,142.0,55.0,,214.0
2026-03-18,3045.0,519.0,2526.0,2619.0,3045.0,519.0,12302.0,2100.0,False,39.0,127.0,55.0,,215.0
2026-03-19,4981.0,2434.0,2547.0,4534.0,4905.0,2358.0,8988.0,2100.0,True,43.0,165.0,54.0,,217.8
2026-03-20,3221.0,674.0,2547.0,2774.0,3221.0,674.0,9854.0,2100.0,False,47.0,135.0,56.0,,
2026-03-21,4513.0,2026.0,2487.0,4126.0,4513.0,2026.0,16467.0,2100.0,True,46.0,171.0,56.0,,
2026-03-22,3560.0,1018.0,2542.0,3118.0,3560.0,1018.0,13277.0,2100.0,False,41.0,138.0,56.0,,217.0
2026-03-23,3178.0,645.0,2533.0,2745.0,3178.0,645.0,4813.0,2100.0,False,49.0,129.0,55.0,,215.4
2026-03-24,3678.0,1159.0,2519.0,3259.0,3678.0,1159.0,15971.0,2100.0,True,33.0,157.0,52.0,,212.8
2026-03-25,3435.0,916.0,2519.0,3016.0,3435.0,916.0,15707.0,2100.0,False,50.0,128.0,52.0,,
2026-03-26,5213.0,2694.0,2519.0,4794.0,4668.0,2149.0,6851.0,2100.0,True,46.0,163.0,52.0,,
2026-03-27,3148.0,944.0,2204.0,3044.0,3148.0,944.0,4954.0,2100.0,True,52.0,157.0,52.0,,
2026-03-28,4291.0,1772.0,2519.0,3872.0,4291.0,1772.0,16182.0,2100.0,True,55.0,150.0,54.0,,
2026-03-29,3679.0,846.0,2833.0,2946.0,3679.0,846.0,11972.0,2100.0,False,49.0,145.0,54.0,,
2026-03-30,4104.0,1585.0,2519.0,3685.0,4104.0,1585.0,14095.0,2100.0,True,46.0,175.0,54.0,,
2026-03-31,4741.0,2222.0,2519.0,4322.0,4165.0,1646.0,4601.0,2100.0,True,52.0,167.0,57.0,,
2026-04-01,2905.0,386.0,2519.0,2486.0,2905.0,386.0,4513.0,2100.0,False,50.0,136.0,57.0,,
